datetime,Demanda real
2015-02-06 00:00:00+00:00,822674.0
2015-02-07 00:00:00+00:00,748826.0
2015-02-08 00:00:00+00:00,684137.0
2015-02-09 00:00:00+00:00,807198.0
2015-02-10 00:00:00+00:00,817508.0
2015-02-11 00:00:00+00:00,807959.0
2015-02-12 00:00:00+00:00,799478.0
2015-02-13 00:00:00+00:00,774144.0
2015-02-14 00:00:00+00:00,695418.0
2015-02-15 00:00:00+00:00,638940.0
2015-02-16 00:00:00+00:00,744198.0
2015-02-17 00:00:00+00:00,774280.0
2015-02-18 00:00:00+00:00,774083.0
2015-02-19 00:00:00+00:00,759983.0
2015-02-20 00:00:00+00:00,758563.0
2015-02-21 00:00:00+00:00,685981.0
2015-02-22 00:00:00+00:00,635532.0
2015-02-23 00:00:00+00:00,751043.0
2015-02-24 00:00:00+00:00,771162.0
2015-02-25 00:00:00+00:00,766533.0
2015-02-26 00:00:00+00:00,751465.0
2015-02-27 00:00:00+00:00,732356.0
2015-02-28 00:00:00+00:00,652966.0
2015-03-01 00:00:00+00:00,602224.0
2015-03-02 00:00:00+00:00,704786.0
2015-03-03 00:00:00+00:00,709146.0
2015-03-04 00:00:00+00:00,717682.0
2015-03-05 00:00:00+00:00,727008.0
2015-03-06 00:00:00+00:00,719421.0
2015-03-07 00:00:00+00:00,631099.0
2015-03-08 00:00:00+00:00,583302.0
2015-03-09 00:00:00+00:00,695048.0
2015-03-10 00:00:00+00:00,705867.0
2015-03-11 00:00:00+00:00,701244.0
2015-03-12 00:00:00+00:00,697489.0
2015-03-13 00:00:00+00:00,699986.0
2015-03-14 00:00:00+00:00,643983.0
2015-03-15 00:00:00+00:00,601593.0
2015-03-16 00:00:00+00:00,715193.0
2015-03-17 00:00:00+00:00,735527.0
2015-03-18 00:00:00+00:00,740435.0
2015-03-19 00:00:00+00:00,691756.0
2015-03-20 00:00:00+00:00,713277.0
2015-03-21 00:00:00+00:00,655667.0
2015-03-22 00:00:00+00:00,610015.0
2015-03-23 00:00:00+00:00,731680.0
2015-03-24 00:00:00+00:00,749691.0
2015-03-25 00:00:00+00:00,741943.0
2015-03-26 00:00:00+00:00,735920.0
2015-03-27 00:00:00+00:00,711644.0
2015-03-28 00:00:00+00:00,623293.0
2015-03-29 00:00:00+00:00,567368.0
2015-03-30 00:00:00+00:00,658793.0
2015-03-31 00:00:00+00:00,661879.0
2015-04-01 00:00:00+00:00,650591.0
2015-04-02 00:00:00+00:00,569620.0
2015-04-03 00:00:00+00:00,517931.0
2015-04-04 00:00:00+00:00,546671.0
2015-04-05 00:00:00+00:00,525061.0
2015-04-06 00:00:00+00:00,575519.0
2015-04-07 00:00:00+00:00,656908.0
2015-04-08 00:00:00+00:00,677419.0
2015-04-09 00:00:00+00:00,685971.0
2015-04-10 00:00:00+00:00,677531.0
2015-04-11 00:00:00+00:00,610910.0
2015-04-12 00:00:00+00:00,562184.0
2015-04-13 00:00:00+00:00,655532.0
2015-04-14 00:00:00+00:00,672451.0
2015-04-15 00:00:00+00:00,680832.0
2015-04-16 00:00:00+00:00,676128.0
2015-04-17 00:00:00+00:00,667116.0
2015-04-18 00:00:00+00:00,595721.0
2015-04-19 00:00:00+00:00,549553.0
2015-04-20 00:00:00+00:00,651493.0
2015-04-21 00:00:00+00:00,664517.0
2015-04-22 00:00:00+00:00,662176.0
2015-04-23 00:00:00+00:00,649339.0
2015-04-24 00:00:00+00:00,654897.0
2015-04-25 00:00:00+00:00,598088.0
2015-04-26 00:00:00+00:00,556920.0
